City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
485,mangrol,21.1167,70.1167,27.9,82,25,4.96,IN,1689532250
486,taro,-8.3862,115.28,22.0,94,66,1.19,ID,1689532250
487,palasa,18.7667,84.4167,27.06,83,100,3.38,IN,1689532251
488,fort bragg,35.139,-79.006,34.34,56,0,5.14,US,1689532252
489,pervomayskoye,43.919,46.7102,17.98,86,100,5.56,RU,1689532252
490,al jawf,29.5,38.75,34.16,11,5,3.57,SA,1689532252
491,feijo,-8.1642,-70.3536,31.9,48,99,0.92,BR,1689532253
492,minakuchicho-matoba,34.9667,136.1667,25.14,94,4,1.05,JP,1689532253
493,kaga bandoro,6.9896,19.1874,24.16,82,5,1.13,CF,1689532254
494,padangsidempuan,1.3667,99.2667,21.15,98,100,0.56,ID,1689532254
495,hacienda huancane,-15.8222,-70.8856,11.88,15,6,3.24,PE,1689532255
496,nouadhibou,20.931,-17.0347,24.99,65,8,11.83,MR,1689532255
497,walvis bay,-22.9575,14.5053,22.53,35,0,1.03,NA,1689532255
498,diego de almagro,-26.3667,-70.05,24.38,13,100,3.47,CL,1689532256
499,mahanoro,-19.9,48.8,19.29,84,62,2.0,MG,1689532256
500,hutchinson,38.0608,-97.9298,33.97,33,0,5.66,US,1689532174
501,vila do maio,15.1333,-23.2167,29.44,81,55,3.25,CV,1689532257
502,monroeville,40.4212,-79.7881,29.24,53,0,2.68,US,1689532257
503,mocimboa,-11.3167,40.35,21.69,86,10,3.61,MZ,1689532258
504,kirensk,57.7853,108.1119,14.16,94,100,1.2,RU,1689532258
505,long beach,33.767,-118.1892,34.35,72,0,3.09,US,1689532258
506,sinanpasa,38.7444,30.2428,20.63,41,0,2.85,TR,1689532163
507,olaine,56.7853,23.9381,19.4,100,40,2.06,LV,1689532259
508,tynda,55.1667,124.7167,15.04,81,18,0.75,RU,1689532260
509,marsa alam,25.0757,34.8918,33.42,40,4,1.71,EG,1689532260
510,charqueada,-22.5097,-47.7781,26.49,41,8,2.57,BR,1689532261
511,kondapalle,16.6167,80.5333,27.92,71,100,2.62,IN,1689532261
512,bullsbrook,-31.6667,116.0,11.06,83,0,2.06,AU,1689532261
513,boguchany,58.3814,97.4531,13.35,92,100,1.62,RU,1689532262
514,vytegra,61.0064,36.4481,17.04,70,93,1.2,RU,1689532262
515,balykshi,47.0667,51.8667,22.0,49,40,4.0,KZ,1689532263
516,taroa,8.7058,171.2275,27.69,76,28,4.99,MH,1689532264
517,sierra grande,-41.606,-65.3557,4.59,37,0,10.42,AR,1689532264
518,yuzhno-kurilsk,44.0306,145.8556,12.85,94,100,0.54,RU,1689532265
519,labrador city,52.9463,-66.9114,23.95,53,40,3.6,CA,1689532209
520,pocone,-16.2567,-56.6228,36.02,20,0,1.34,BR,1689532266
521,hagere hiywet,8.9833,37.85,15.19,91,77,1.56,ET,1689532266
522,rantepao,-2.9701,119.8978,17.9,96,100,0.8,ID,1689532268
523,altai,46.3722,96.2583,18.9,27,21,0.97,MN,1689532268
524,salalah,17.0151,54.0924,26.02,90,100,3.46,OM,1689532269
525,port macquarie,-31.4333,152.9167,12.72,90,94,3.36,AU,1689532269
526,surin,14.8818,103.4936,29.39,99,100,4.89,TH,1689532270
527,magadan,59.5667,150.8,11.76,85,100,0.69,RU,1689532270
528,ulan bator,47.9077,106.8832,13.07,82,20,1.0,MN,1689532233
529,constantia,44.1833,28.65,25.39,67,0,4.7,RO,1689532271
530,puerto lleras,3.0223,-73.4044,27.96,76,67,0.74,CO,1689532272
531,iquique,-20.2208,-70.1431,20.02,67,31,3.34,CL,1689532272
532,kirando,-7.4167,30.6,23.65,51,14,2.32,TZ,1689532273
533,shevchenko,48.5,35.0,21.05,47,0,2.0,UA,1689532273
534,fort st. john,56.2499,-120.8529,18.94,68,100,2.57,CA,1689532274
535,isola di capo rizzuto,38.96,17.0933,32.41,48,0,2.57,IT,1689532274
536,nuuk,64.1835,-51.7216,9.34,100,100,1.54,GL,1689532275
537,varkaus,62.3153,27.873,20.73,59,100,3.46,FI,1689532275
538,harper,4.375,-7.7169,25.22,86,71,4.23,LR,1689532276
539,kununurra,-15.7667,128.7333,24.99,44,5,5.66,AU,1689532276
540,lucelia,-21.7203,-51.0189,23.91,40,94,2.23,BR,1689532277
541,queenstown,-31.8976,26.8753,10.89,44,88,1.8,ZA,1689532277
542,wahpeton,46.2652,-96.6059,22.01,46,75,7.72,US,1689532278
543,armidale,-30.5167,151.65,4.41,97,9,2.03,AU,1689532278
544,togur,58.3631,82.8265,12.14,86,0,3.22,RU,1689532279
545,pathein,16.7833,94.7333,25.77,92,100,2.5,MM,1689532279
546,sambava,-14.2667,50.1667,22.32,77,45,4.06,MG,1689532280
547,chibougamau,49.9168,-74.3659,20.79,88,75,3.09,CA,1689532280
548,morganton,35.7454,-81.6848,32.56,56,0,3.13,US,1689532281
549,kingscliff,-28.2667,153.5667,15.98,82,8,1.54,AU,1689532281
550,viedma,-40.8135,-62.9967,7.17,65,100,9.13,AR,1689532281
551,filadelfia,39.9523,-75.1638,26.75,93,100,1.54,US,1689532282
552,ola,59.5833,151.2833,11.65,89,100,0.88,RU,1689532283
553,campoverde,-8.4753,-74.8058,26.83,48,63,1.13,PE,1689532284
554,frontera,26.9333,-101.45,34.62,36,5,1.34,MX,1689532284
555,sonargaon,23.6422,90.6023,28.03,87,100,3.77,BD,1689532285
556,talcahuano,-36.7167,-73.1167,11.82,58,0,4.63,CL,1689532285
557,jerseyville,39.12,-90.3285,33.14,31,54,5.61,US,1689532286
558,bauru,-22.3147,-49.0606,26.52,38,0,3.09,BR,1689532073
559,east ballina,-28.8667,153.5833,12.67,83,41,3.76,AU,1689532286
560,nema,57.5067,50.5011,17.88,63,99,3.06,RU,1689532287
561,jiwani,25.05,61.7417,28.64,80,97,5.13,PK,1689532287
562,acarau,-2.8856,-40.12,28.91,65,61,7.3,BR,1689532288
563,ballina,-28.8667,153.5667,12.66,85,41,3.6,AU,1689532288
564,malgrat de mar,41.6466,2.7414,28.31,70,0,3.13,ES,1689531781
565,vylkove,45.4021,29.586,22.5,64,0,3.63,UA,1689532290
566,bandarbeyla,9.4942,50.8122,24.08,84,92,14.16,SO,1689532290
567,madalena,41.2162,-8.3345,22.53,61,100,3.43,PT,1689532291
568,wenatchee,47.4235,-120.3103,34.79,28,0,1.54,US,1689532253
569,batticaloa,7.7102,81.6924,27.67,73,98,1.89,LK,1689532292
570,balsas,-7.5325,-46.0356,36.46,19,4,3.55,BR,1689532292
571,imuris,30.7833,-110.8667,36.58,29,100,1.57,MX,1689532293
572,shalya,57.2471,58.7298,11.26,98,82,2.43,RU,1689532293
573,sandnessjoen,66.0217,12.6316,16.29,88,75,3.09,NO,1689532294
574,selkirk,50.1436,-96.8845,19.49,68,79,7.46,CA,1689532206
575,okhotsk,59.3833,143.3,13.97,90,100,0.87,RU,1689532294
576,fort payne,34.4442,-85.7197,32.07,50,40,3.09,US,1689532295
577,nyaunglebin,17.95,96.7333,25.19,91,100,1.47,MM,1689532295
578,sergeyevka,53.88,67.4158,15.83,82,2,3.75,KZ,1689532296
579,floro,61.5996,5.0328,16.04,77,75,14.4,NO,1689532154
580,pariaman,-0.619,100.12,24.03,89,30,1.6,ID,1689532297
581,nar'yan-mar,67.6713,53.087,16.02,83,31,4.11,RU,1689532297
582,nyagan,62.1406,65.3936,16.52,56,40,2.22,RU,1689532298
583,phillip island,-38.4835,145.231,8.04,83,1,5.41,AU,1689532086
584,matane,48.8286,-67.522,19.39,92,100,3.02,CA,1689532259
585,nizhniy kuranakh,58.8353,125.4869,9.53,95,4,0.72,RU,1689532299
586,fukuchiyama,35.3,135.1167,24.37,94,50,1.77,JP,1689532300
587,cannonvale,-20.2833,148.7,18.66,82,92,7.43,AU,1689532300
588,baranchinskiy,58.1617,59.6991,14.44,87,100,1.18,RU,1689532301
589,teknaf,20.8624,92.3058,25.98,91,100,3.85,BD,1689532301
590,nova vicosa,-17.8919,-39.3719,24.32,71,80,3.67,BR,1689532301
591,karukh,34.4811,62.5863,25.48,20,0,5.96,AF,1689532302
